# id                    Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21    phi31    meanmag   cost     phcov   phcov2   snr      Npt   order   minmax   phaseshift   id_2                  Nep_rv   totamp_rv   A1_rv     A2_rv    A3_rv    phi1_rv   phi2_rv   phi3_rv   phi21_rv   phi31_rv   mean_rv    cost_rv   phcov_rv   snr_rv    Npt_rv   order_rv   minmax_rv   remark  
  4484858348599494912   23    0.453917   0.72     0.303   0.12    0.052   -2.436   3.906    -2.209   8.7771   5.0978   12.21     0.0156   0.863   0.856    78.5     23    4       0.816    -0.388       4484858348599494912   9        59.328      19.305    10.269   7.324    -0.24     2.363     -0.865    9.1254     6.1375     -34.079    0.0762    0.684      6520.9    9        3          55.838      1       
  4410058473777585024   38    0.487568   0.949    0.333   0.162   0.101   2.099    0.31     -1.062   8.6787   5.2075   11.41     0.0225   0.89    0.913    163.9    38    5       1.05     0.334        4410058473777585024   7        48.684      20.612    6.026    1.66     -0.587    1.407     0.556     8.8635     8.5985     -22.816    0.0       0.558      13927.9   7        6          47.996      2       
  3994645453038686464   26    0.653413   0.642    0.228   0.115   0.068   -0.385   1.959    -1.752   9.0121   5.6863   11.816    2.0E-4   0.889   0.862    1763.9   26    5       0.623    -0.061       3994645453038686464   10       46.548      21.346    3.498    0.788    0.322     4.275     -1.211    9.9145     4.1058     -123.089   0.0015    0.556      2329.6    10       6          35.413      2       
  3640396516105037056   25    0.552204   1.006    0.406   0.186   0.082   1.579    5.504    -2.822   8.629    5.0062   12.95     0.0288   0.877   0.887    79.7     25    4       1.087    0.251        3640396516105037056   10       63.362      27.918    5.364    2.285    -0.443    1.952     2.142     9.1204     3.4705     109.067    0.6497    0.66       114.2     10       3          66.742      1       
  3323274788307690112   26    0.655919   0.868    0.297   0.163   0.099   -1.183   0.201    1.713    8.8493   5.2605   12.552    0.002    0.887   0.837    444.2    26    6       0.857    -0.188       3323274788307690112   9        84.428      26.21     14.33    11.647   -0.125    2.386     -1.326    8.918      5.3307     31.261     0.0       0.758      7594.3    9        5          77.25       1       
  6771307454464848768   27    0.428934   0.708    0.334   0.07    0.027   1.873    5.755    -2.547   8.2917   4.4      10.278    0.0506   0.869   0.854    32.4     27    6       1.071    0.298        6771307454464848768   10       65.391      31.655    5.944    1.546    -0.316    2.098     -1.57     9.0124     5.66       -64.233    0.9286    0.817      71.6      10       3          64.57       0       
  6271132262001426816   26    0.52281    0.689    0.327   0.081   0.018   -2.231   4.197    -1.915   8.6593   4.7788   12.635    0.0376   0.859   0.895    35.2     26    4       0.957    -0.355       6271132262001426816   10       280.53      42.233    37.816   28.447   0.078     3.948     1.113     10.0758    7.1629     165.944    0.0       0.784      429.9     10       6          85.114      0       
  6203153954889876992   26    0.600089   0.547    0.205   0.088   0.053   0.549    3.842    0.965    9.027    5.6012   12.691    5.0E-4   0.877   0.85     1149.0   26    5       0.555    0.087        6203153954889876992   10       60.796      21.982    11.742   5.812    -0.487    3.17      -1.987    10.4272    5.7575     -27.776    1.2728    0.588      57.8      10       3          59.815      2       
  6032776175671207040   46    0.47537    1.118    0.386   0.187   0.129   0.789    3.914    1.093    8.6186   5.008    14.019    0.0082   0.909   0.928    597.9    46    6       1.113    0.126        6032776175671207040   10       113.642     54.107    14.389   8.244    0.081     4.356     -0.631    10.4764    5.4074     -198.095   2.0583    0.833      34.8      10       3          132.171     0
  4073417043038984576   25    0.867087   0.455    0.184   0.073   0.031   2.039    0.905    -0.229   9.3939   6.2212   12.94     4.0E-4   0.864   0.86     418.2    25    6       0.461    0.324        4073417043038984576   11       61.071      21.108    8.939    6.15     0.244     3.583     -0.747    9.3796     4.8051     7.63       2.724     0.738      32.0      11       3          69.832      1       
